beta_0,beta_1,sigma,log_lik
-0.67820746,1.0041026,0.60977254,-3.9555633
0.79862318,0.84969786,0.53991061,-5.5928175
0.17715723,0.84144086,0.5989198,-3.4025128
0.14446353,0.82815272,0.61901917,-3.536762
-0.67362797,1.173659,0.47358132,-3.6870939
-1.0498719,1.3126659,0.5550542,-4.0718665
-1.0498719,1.3126659,0.5550542,-4.0718665
-0.38314141,0.96590212,0.50736304,-3.5258513
-1.5797233,1.2219656,0.56129282,-4.9348339
-1.4643734,1.2883176,0.56844326,-3.5186633
-1.8332477,1.2173351,0.54563336,-7.3842337
-4.0908497,2.1328036,0.91877346,-5.6876177
-3.7089589,1.9890508,1.5110368,-6.0288093
-0.0046441207,0.91412818,0.48266904,-3.3002472
-0.0046441207,0.91412818,0.48266904,-3.3002472
0.025883517,0.90719945,0.62527964,-3.3166338
-1.0734803,1.218325,0.61515402,-3.2902613
0.14497882,0.76683053,0.6382476,-4.1985688
-1.7961569,1.4258135,0.75603374,-3.8149963
-1.5596837,1.2423131,1.0130489,-4.664867
1.4373886,0.67540154,1.329238,-5.6594184
-0.28942247,0.69053522,1.8636382,-7.0329046
0.25300518,1.0884493,1.6991202,-6.4955576
-1.2862873,0.91835794,1.855731,-7.2632498
-1.239233,0.90093286,1.8281176,-7.259581
0.096410657,0.76026088,1.6644589,-6.0980271
-0.025264713,0.64673185,1.6263158,-6.604058
0.071010806,0.8372838,1.3961297,-5.3728363
-3.4783131,1.7438566,1.5285613,-6.1706898
-2.8310194,1.7100882,0.72230059,-4.4423526
-2.1300231,1.2751393,1.6788107,-6.519324
-1.8605532,1.7160317,1.3693197,-6.3941616
-2.8903087,1.4729947,1.1373259,-6.2006151
-2.776673,1.4646274,1.0553606,-5.9397064
1.7811955,0.52833997,0.94505147,-4.9227324
1.7974223,0.38123611,0.84771905,-4.6159465
-0.012286885,0.8819647,0.57980723,-3.389596
-2.3317906,1.5387244,1.013383,-4.5974371
-3.0049607,1.8287521,0.95031827,-4.9343973
-2.8362218,1.5845245,0.87858053,-5.0050864
-2.7530708,1.6948458,0.90512491,-4.5567195
-1.3376858,1.2610683,0.67963426,-3.5281777
-1.0477505,1.328034,0.64707961,-4.1685978
-2.3219389,1.4615086,0.53863784,-5.0627185
1.526269,0.46364861,0.94757357,-4.5926152
1.1024306,0.62737304,0.6442524,-3.9061479
1.1222194,0.81878962,1.2223008,-5.7408758
0.70883308,0.40258089,2.2223583,-7.5535126
-1.7448552,1.2347591,0.70579384,-5.1097069
